,Usuario,Fecha,Descripción,Calificacion
340,Jesus Gomez Pacheco,"un año atrás en
Google",El lugar ideal para sentirse en el centro de la ciudad. Habitaciones cómodas y servicio de primera.,5/5
341,victor juarez ruiz,"un año atrás en
Google",Lugar Muy acogedor,5/5
342,Mayra Mendoza,"hace 11 meses en
Google",Muy boen todo menos el desayuno,5/5
343,Emma Avendaño,"3 años atrás en
Google","Una maravillosa experiencia! Desde la llegada los Bell boys te reciben super atentos y muy sonrientes, todos los chicos y chicas que trabajan allí son muy serviciales y cálidos, la recepción es hermosa, con una magnífica decoración, en la…",5/5
344,José Galicia,"un año atrás en
Google","Un edificio precioso, con una antigüedad desde el porfiriato, inició cómo un centro mercantil. Cuenta con un vitral enorme y sus dos elevadores antiguos. Tienes la oportunidad de comer desde arriba teniendo una panorámica del Zócalo",5/5
345,Antonieta Gonzalez,"un año atrás en
Google","Emblemático lugar de la Ciudad de México! Puede ser para ""turistear"", tiene opciones para cometer en su terraza o en la cafetería.",4/5
346,Mario Cisneros,"un año atrás en
Google",Me. Encanta este histórico lugar,5/5
347,Ale CH,"un año atrás en
Google","Excelente hotel, muy bonitas instalaciones, muy al estilo luis xv, me sentí très français, j'ai bien aimé!",5/5
348,Erika Gómez,"un año atrás en
Google","Expectacular el hotel, sus habitaciones bellísimas, las camas y almohadas súper cómodas, los restaurantes con comida exquisita!!!! Buffet súper completo. El lobby espectacular.",5/5
349,Yolanda Mendoza,"un año atrás en
Google",Los cortes de carne pueden parecer algo caros pero la barra que acompaña la comida realmente vale la pena. Las cremas son deliciosas y las ensalada son saludables pero con un gran sabor.,4/5
350,Humberto Gabriel Tobías Gonzalez,"un año atrás en
Google","Lugar muy elegante, muy bonito.",5/5
351,José Andrés Castañeda Bernot,"un año atrás en
Google",Me encanta este lugar. Con mucho estilo elegancia y ese toque que lo hace único. El servicio es bueno y la comida muy rica.,5/5
352,Ma. de Lourdes Gonzalez Ordoñez,"un año atrás en
Google","Excelente lugar, la atención inigualable, muy bello lugar!",5/5
353,Leonardo Meza,"un año atrás en
Google","El lobby del hotel es espectacular con su cúpula de emplomados Tiffany, los candelabros y la distribución de espacios. Sus salones de eventos adecuados a las necesidades de lis usuarios. Buena cocina. El pan, dulce y salado excelente. Servicio de atención esmerada",5/5
354,Fernando Sevilla,"2 años atrás en
Google",Arquitectura pura,5/5
355,Patricia Angel,"hace 11 meses en
Google",Me gustaría saber si solo es hotel o puedo reservar un desayuno como para mi aniversario? Gracias 😉,5/5
356,Alejandro Delgado,"2 años atrás en
Google",Muy bien,5/5
357,Javier tinoko,"hace 6 meses en
Google",De mis favoritos para desayunar un domingo,5/5
358,Alvaro Gaytan,"un año atrás en
Google","Es de gran tradición histórica prácticamente en el corazón de la capital, a media cuadra del zocalo sus interiores develan gran conservación de su arquitectura centenaria.. Por algo es la ciudad de los palacios..al estilo porfiriano",4/5
359,J. Johanna Mendoza Suárez,"un año atrás en
Google",La cafetería tiene un buen buffet y la atención es muy buena.,4/5
360,Luis Armando Gomez Arellano,"un año atrás en
Google","El lugar espectacular lleno de historia. El hotel está remodelado y muy funcional. Exactamente en el centro de la CDMX. La comida y el servicio buenos. Tiene arriba una terraza con vista directa al Zocalo, la Catedral y Palacio Nacional",4/5
361,Alejandro J González M,"un año atrás en
Google",El sábado a medio día llegué con mi familia de 6 persona al hermoso hotel CdMx y al subir al restaurante de la terraza me dan la sorpresa de que es Bufete Brunch de 9 am a 6 pm y que cuenta $450 pesos por persona. Se me hizo muy caro y mejor nos fuimos a otro lugar. Muy mala experiencia.,3/5
362,Rodolfo Franco,"un año atrás en
Google","Hermoso lugar ubicado en el centro de la Ciudad de México, icono histórico.",5/5
363,Raksha Sanchez del Rio,"un año atrás en
Google",Muy bonito lugar con historia. Ideal para fotos de bodas o XV años,5/5
364,Giorgio Battisti Wolf,"un año atrás en
Google","Excelente ubicación, ideal para hospedarse y conocer el centro y corazón de la CDMX. El zócalo queda, literal, a 5 minutos caminando. Las habitaciones son muy cómodas y amplias, baños bastante cómodos y la luz que entra al cuarto por las ventanas es ideal.",5/5
365,Fernando Nieto,"un año atrás en
Google","La mejor vista, una excelente atención y comida de excelente calidad.",5/5
366,gadolin619 Reckless,"un año atrás en
Google",Muy elegante excelente servicio y muy ricos los cortes de carne,5/5
367,Chino Tark soria,"un año atrás en
Google",Muy bonito aunque el salon de fiestas muy pequeño,4/5
368,Patricia Sanchez,"un año atrás en
Google","Contrate los servicios para ofrecer un Brunch con la Srita de banquetes  Gaby Monroy, la cual siempre estuvo muy atenta e interesada a mis necesidades, de hecho con su experiencia y sus muy buenas opiniones me ayudaron para que mi evento…",5/5
369,Lirice Zuniga,"hace 11 meses en
Google","Espectacular, ubicación incomparable.",5/5
370,Miguel Meneses,"hace 11 meses en
Google",Buen servicio,5/5
371,Oscar Aguilera,"un año atrás en
Google","Buena atención, comida, igual la vista al Zocalo",5/5
372,Rafael Sandoval,"un año atrás en
Google",Un lugar unico. La atención en el bar y en general es excelente y la ubicación lo hace incomparable.,5/5
373,Luis Del Rio,"un año atrás en
Google","Espectacular hotel en el corazón de nuestra metrópoli El zócalo , el lobby es  impresionante con detalles muy particulares ,como el elevador , la cúpula , piano ,amplios espacios y la terraza con una vista magnifica al palacio nacional",4/5
374,yishel hernandez,"un año atrás en
Google","Hermoso, colonial, preservado, escenario de grandes películas y producciones",5/5
375,Carlos Ricardo Urrutia Ahumada,"un año atrás en
Google",Excelente servicio ❤️muy hermoso lugar,5/5
376,Gabriela Martinez,"un año atrás en
Google","Un lugar muy lindo, excelente servicio",5/5
377,Payaso Loquillo,"un año atrás en
Google",La arquitectura de este lugar es impresionante,5/5
378,Ale Es,"un año atrás en
Google","Buenos días . La señora Monica de la Rosa , directora de ventas . Es poco profesional. Tuve Mala experiencia en mi evento en la terraza de dicho hotel.",1/5
379,Mario Ramos,"un año atrás en
Google","La mejor vista al Zócalo, comida de primera calidad y un excelente servicio. Salsa preparada especialmente para nosotros... Inolvidable jeje",5/5
380,Arianny K Aguilar C,"un año atrás en
Google","Genial, atención excelente y buena vista.",4/5
381,Bernadette Jolivet,"un año atrás en
Google",Urge restauracion de muebles y reposición de alfombras. Y algunas reoaraciones. Bellusimo lugar y vitral maravilloso,5/5
382,Los-_-Hermanos,"un año atrás en
Google",Uno de los más bellos de ciudad de México lo recomiendo excelente lugar ubicación,5/5
383,Jorge Esquivel,"un año atrás en
Google","Es un lugar muy agradable y en su terraza se puede ver todo el zócalo, el palacio nacional y la Catedral de La CDMX",5/5
384,Edgar Augusto Ortiz Sandoval,"un año atrás en
Google",Está padrísimo el lugar es como de época te transporta a otro tiempo,5/5
385,alejandro gonzalezalez,"un año atrás en
Google",ES DE UN ESTILO DE PRINCIPIOS DE SIGLO MUY ELEGANTE VISITARLO LE DA LA OPORTUNIDAD DE VER EL PASADO . EMPEZANDO DESDE EL ELEVADOR Y LA RECEPCION Y EL PIANO ALA ENTRADA MUY BIEN PARA MI OPINION,5/5
386,Christian Guasque,"un año atrás en
Google","Excelente terraza en su bar plaza mayor...dónde admiras palacio nacional, catedral palacio de gobierno y la gran plaza...buenos drinks,servicio,y botanas.",5/5
387,Lourdes Fuentes,"un año atrás en
Google","Lugar estilo Art'Deco de gran atractivo turístico, El vitral Tiffani más hermoso en CD.Mex.  tiene un restaurante terraza en la parte alta con vista al zócalo!",4/5
388,Fernando Rivero,"un año atrás en
Google","Hermoso lugar, con un vitral y herrería de la época del porfiriato",5/5
389,Mimi Flores,"un año atrás en
Google","Excelente y hermosos lugar, mucho que apreciar su estilo, su arquitectura, su interior es un lugar muy acogedor, la limpieza es muy buena, el restaurante tiene un servicio único, con una atención llena de amabilidad.",5/5
390,Reandy Rodriguez,"un año atrás en
Google","AÑO: 1895 AL 1899
ESTILO: ART NOUVEAU",5/5
391,Jonathan GonHer,"un año atrás en
Google","Ideal para disfrutar del Zócalo del centro histórico de la  Cdmx , cercano al metro si así te quieres trasladar en la ciudad",5/5
392,laura miroslaba olivan,"un año atrás en
Google","Excelente lugar, atención increible",5/5
393,Pedro Hernandez,"un año atrás en
Google",Una hermosa vista hacia el zócalo solo que su bufete le hace falta profesionalismo muy   sucios sus utensilios de servicio en el bufete,4/5
394,Diego Kings,"un año atrás en
Google","Solicite entrar para tomar fotografías y el personal fue muy amable.
Arquitectura vintage.",4/5
395,Jorge Díaz,"un año atrás en
Google","Instalaciones muy buenas y con gran decoración, precios un poco elevados, su estacionamiento excelente y muy cercano al zócalo.",5/5
396,Violeta Ibarra,"un año atrás en
Google",Excelentes servicio y delicioso desayuno...,5/5
397,EverybodyWangChung,"un año atrás en
Google","Segunda vez que acudo al buffet del desayuno el fin de semana pasado y la verdad no es taaan rico como esperaba, está mejor en otros lugares a un menor costo. Creo que volvería sólo por un café y un postre porque la vista es espectacular. Por lo demás el hotel es hermoso.",4/5
398,Enrique Anaya,"un año atrás en
Google",Restaurante La Terraza con vista magnífica a la Plancha del Zócalo. Menú Sabores de México en tres tiempos a precio accesible. Totalmente recomendable.,5/5
399,Roberto Gómez,"un año atrás en
Google",Un lugar hermoso,5/5
400,Judith Martínez,"un año atrás en
Google","Un lugar hermoso, la arquitectura del lugar es fascinante.",5/5
401,Manuel Balbin,"un año atrás en
Google",Un Hotel con Historia que vale la pena visitar.,4/5
402,Daniel Garcia,"un año atrás en
Google",Uno de los hoteles mas bonitos y con una arquitectura maravillosa que existen en la cdmx.,5/5
403,María Candelaria Lara Sánchez,"un año atrás en
Google","Fuimos a desayunar y conocer el lugar. Como el restaurante la Terraza estaba lleno nos bajamos a la planta baja donde tambien se desayuna rico. Buen servicio, excelente atencion y los alimentos una delicia vayan y disfruten este hermoso lugar que tiene mucha historia",5/5
404,Edgardo Velasquez,"2 años atrás en
Google","El hotel es muy bueno. Respecto a la vista es buena, pero las mesas de la orilla requieren una reservacion previa en una página que no es la de ellos aunque no las tengan ocupadas en ese momento. La comida es... buena, pero (a mi parecer)…",4/5
405,Sam Cerón,"un año atrás en
Google","Comida mala, vista espectacular",4/5
406,Ingeniería Alexander,"un año atrás en
Google",Lugar hermoso y la vista desde la terraza es la mejor del Zócalo se puede apreciar todos los edificios y la decoración. En la noche se ve más bonito,5/5
407,Roxana Nava Hernandez,"un año atrás en
Google",Un lugar exquisito,5/5
408,Expedia reviewer,"un año atrás en
Expedia.mx",La arquitectura del inmueble y las gentileza del personal así como las comodidades ofrecidas y la excepcional recepcion,5/5
409,Fernando Ramirez,"3 años atrás en
Google",Muy bonito edificio. Ideal para desayunar. Alimentos muy ricos.,5/5
410,Toño Favila,"un año atrás en
Google",Me gustó mucho la decoración y su domo es un vitral multicolor que llamó mucho mi atención.,5/5
411,Edgar Martinez,"un año atrás en
Google","El lugar es muy agradable y la atención excelente, lo malo es que el bufet es muy simple, con poca variedad.
El vestíbulo esta genial para tomar fotos del recuerdo, jejeje, y la vista hacia el Zócalo es buena.",4/5
412,Ivonne González Franck,"4 años atrás en
Google","Un increíble lobby, el vitral es espectacular, las habitaciones muy cómodas y aunque el trato en la recepción no fue muy amable, quedé encantada con el hotel. Para la próxima vez me quedo al brunch en la terraza",5/5
413,Ignacio Cruz,"un año atrás en
Google",Exelente servicio en el área de restaurant en especial de una mesera que fue muy amable y cordial,5/5
414,Alberto Rodriguez Aguilera,"un año atrás en
Google","Historia del Gran Hotel Ciudad de México.

En 1898, el arquitecto Daniel Garza comenzó a concebir la estructura del edificio bajo la petición del primer propietario, Sebastian Robert. Siguiendo el método de Chicago, una modalidad de…",5/5
415,Alberto Sotres,"2 años atrás en
Google","Gran lujo. Un sitio hermoso para el deleite de cualquier visitante. Espacio para grandes eventos sociales y para disfrutar de la Gran Ciudad de México. Alimentos sabrosos, precios al nivel de lo que se ofrece. Siempre lleno el restaurante…",2/5
416,HECTOR HUGO GONZALEZ VARGAS,"un año atrás en
Google","💯 A quien le gusta el lujo y tiene 💵💵💵💵 de ahí es, el restaurante es bueno y montan caro. La vista es buena.
🙌🏼Viva 🇲🇽",5/5
417,Aaron Sanchez,"un año atrás en
Google",Excelente lugar más por el domo vitral Tiffany,5/5
418,Guillermo López,"un año atrás en
Google","Hermoso, excelente lugar para celebraciones formales.",5/5
419,Jeronimo Torres Castro,"un año atrás en
Google",Esta bonito pero hace falta modernizar los salones están ya muy anticuados,4/5
420,Eduardo Carrera Reyes,"3 años atrás en
Google",Un increíble lugar con el diseño único muy agradable con vista única y decoración excelente a un estilo clásico.,5/5
421,Chris Courtney,"un año atrás en
Google","Excelente servicio e atención, que bonito hotel, felicidades",5/5
422,Ana Loria,"un año atrás en
Google",Muy excelente lugar y calidad,5/5
423,Moffy Cuenca,"un año atrás en
Google",Bellísimo lugar !!!,5/5
424,Luis Armendariz,"un año atrás en
Google","Es un hotel espectacular , muy hermoso",5/5
425,Ana Ruby Carmona,"un año atrás en
Google","Muy impresionante el interior de este edificio, no puedes evitar imaginar como se vería tanto lujo en aquella época. 😄👍",5/5
426,Alfredo Lucio,"un año atrás en
Google","Un hotel bonito, limpio y buena atención. Muy recomendable.",4/5
427,Alberto Lopez,"hace 8 meses en
Google",Muy agradable.,5/5
428,Juan Carlos Fernández,"3 años atrás en
Google","Un lugar digno de visitar, en excelente estado de conservación, te transporta a principios del siglo xx",5/5
429,Emmanuel Hernández,"un año atrás en
Google","Un hotel con una gran arquitectura que realmente vale a conocer, aunque no se hospeden si vale la pena entrar a verlo, y disfrutar de la vista del zócalo desde el café o de la terraza.",5/5
430,Rafa S,"un año atrás en
Google","El interior del edificio te hace sentir que estás en otra época del pasado. La terraza está agradable por la vista, la calidad de los alimentos está bien, pero el servicio no es bueno y los precios son altos por su ubicación.",4/5
431,Andres Alfaro,"un año atrás en
Google","Si quieres disfrutar d runa vista inigualable dem Zócalo de la CDMX es definitivamente la opción.
El restaurante cumple con los más altos estándares",5/5
432,amadeus land,"un año atrás en
Google",Excelente lugar para reuninones de negocios. Y familiarees.,4/5
433,Betty Castillo,"un año atrás en
Google",Un hermoso lugar!!!,5/5
434,Rosa Elena Gonzalez Vazquez,"un año atrás en
Google",hermoso hotel exelente servicio..extraordinaria atencion,5/5
435,Diana García Aguilar,"un año atrás en
Google","La visita para conocer el vitral es prácticamente obligada en centro histórico, solo hay que avisar que vas a eso con los botones de la entrada, si quieren fotos van a tener que ser rápidos o pedir permiso porque todo el tiempo los van a estar apurando",5/5
436,Julieta Torrijos,"un año atrás en
Google",Me encantó una experiencia fenomenal,5/5
437,Eduardo Blas,"un año atrás en
Google",Hotel de categoria ejecutiva con arqutectura histórica de la ciudad. La vista desde la terraza de su restaurante es sin igual.,5/5
438,Alan Isaac Orozco Ruiz,"un año atrás en
Google","Es un excelente hotel con vista al Zócalo, se puede pasar a conocer el vestíbulo del hotel y también al restaurante a comer sin necesidad de ser huésped.",5/5
439,ADN Aguilar,"un año atrás en
Google",Me encanta!!! Es como si estuviera en otra cuidad 😍 y el bufete buenísimo!!!! 😋,5/5
440,Miguel Angel Salazar,"un año atrás en
Google",Excelente lugar cuenta con restaurante en la azotea y tiene una vista muy buena del primer cuadro de la ciudad recomendado para las fiestas patrias,4/5
441,Rojas Niebla Samuel Arturo,"un año atrás en
Google","4.5 realmente, en algunas ocasiones el hotel hacía una discriminación a huéspedes nacionales, dando preferencia de servicio a extranjeros (no digo que todos los empleados, pero me tocó en un par de ocasiones que no me atendían aunque…",5/5
442,Eli Durán La Psicóloga del Amor,"un año atrás en
Google",Precioso lugar espectacular,4/5
443,Humberto Mariles,"un año atrás en
Google",Excelente lugar para desayunar o lunch!!!,5/5
444,Diana Benavides,"un año atrás en
Google",El hotel es increible. Un edificio antiguo rehabilitado en el pleno centro de Ciudad de Mexico. El staff del hotel era increiblemente servicial y la comida deliciosa. Muy recomendable. Supero mis expectativas en todos los sentidos,5/5
445,Patricia Valbuena,"un año atrás en
Google",Excelente atención todos muy amables limpio muy bueno gracias mil por su atencion,5/5
446,Yara Allegretti,"un año atrás en
Google","El lugar es hermoso,  pero el servicio y la comida son muy malos!!!",3/5
447,Alberto Rentería Ibarra,"un año atrás en
Google",Muy buena atención al visitante,3/5
448,Lucy Cabrera,"un año atrás en
Google",Muy bueno el bufet,5/5
449,German Roque,"un año atrás en
Google","Una belleza de edificación es de los pocos lugares con estilo victorianos muy recomendable para estancia y disfrutar la CDMX, aunque me comentan que tienes que hacer reservar meses antes",5/5
450,OSCAR ESCALON,"un año atrás en
Google",Todo muy bien!,5/5
451,Joaquin Llambi,"un año atrás en
Google",Fui a almorzar a la terraza. Excelente vista del Zócalo. La comida y la atención de los camareros no se queda atrás.,5/5
452,SKEEY DTK,"un año atrás en
Google",Exelente servicio 👍🏻,5/5
453,César Oscar Acevedo Navarrete,"un año atrás en
Google",Lo normal para un hotel. El servicio muy lento,3/5
454,Alexis Castro,"2 años atrás en
Google",Excelente lugar,5/5
455,Manolo Diaz-Marta,"2 años atrás en
Google","Siempre hermoso, la terraza es el único restaurante bueno con vista al zócalo!

Always gorgeous, the filming of James Bond took place here and has the only good restaurant overlooking the Zócalo",5/5
456,Ivan Guzman,"un año atrás en
Google",Viejo el lugar,3/5
457,Liliana Herrera,"un año atrás en
Google","Excelente servicio, excelente los alimentos, el recinto es un lugar con mucha historia y de una belleza imperdible, la vista al zócalo y a la Catedral de la Ciudad de México 🇲🇽 son impresionantes, muy, muy recomendable, felicidades!",5/5
458,Alejandro Sales,"un año atrás en
Google",Un lugar memorable,5/5
459,Pedro Carmona,"2 años atrás en
Google","Hermosa arquitectura y diseño del Hospital, te remonta a principios del siglo XX. La cafetería de la parte inferior no es muy buena. Es más preferible la Terraza. Las habitaciones son hermosas",5/5
460,Lucy Angelus,"un año atrás en
Google","Bellísimo lugar, te transporta a otra época, en la cafetería hay buffet, muy bueno, el restaurante tiene una vista para disfrutar del Zócalo, no es barato, cuenta con estacionamiento.",5/5
461,Karen Chav,"3 años atrás en
Google","Excelente lugar para desayunar. El buffet no es muy variado, sin embargo, es muy rico todo lo que ofrecen y existe la opción de pedir huevos al gusto que van incluidos en el mismo precio. Un lugar histórico, y muy bonito para disfrutar con amigos o familia.",5/5
462,mario sanchez,"un año atrás en
Google",Magnifico lugar para desayunar buen menú tuna hermosa vista,4/5
463,PRI. Records,"un año atrás en
Google",En general el hotel está muy bonito aún que no he visto las habitaciones por dentro solo la terraza creo que está bien,4/5
464,Emilio Garcia,"un año atrás en
Google",MUY HERMOSO PERO ALGO CARITO.,4/5
465,Beatriz Basilio,"un año atrás en
Google",Muy bonito todo el personal muy amable,5/5
466,José Antonio Abugaber,"un año atrás en
Google",Un clásico del centro.  Vale la pena visitar.,4/5
467,Raul Ortiz Monroy,"2 años atrás en
Google","Increíble. Excelente sus restaurantes , comida y atención . lástima que para mí bolsillo el Hospedaje está muy caro me encantaría pasar mi próximo aniversario de casados  , 46 años de Casados , ni Hablar, lo lamento.",5/5
468,Miguel Rodríguez,"2 años atrás en
Google","Asistí lugar a mi fiesta de fin de año. Me pareció un lugar muy bonito, el adorno de temporada navideña hace lucir mucho el salón principal. La atención de los empleados fue excelente en todo momento. Una joyita en el centro de la ciudad",5/5
469,Antonio Omen,"un año atrás en
Google","En realidad sólo visité el restaurante para cenar: grata experiencia a pesar de que la sopa estaba incomible pero el mesero, el plato fuerte, las bebidas y la vista fueron excelentes",4/5
470,jaime hernandez,"2 años atrás en
Google","Es hotel que sirve para el turismo que gusta por visitar nuestra ciudad de México y sobretodo el centro histórico de la ciudad de México.
Es muy cómodo para todo aquel quiere nuestro maravilloso México y su capital .",5/5
471,Hector Carbajal,"un año atrás en
Google",Muy mal servicio de la entrada te dicen que hay evento el cual no es cierto ya que llegaron unos extranjeros y los dejaron pasar jamas volvere a un lugar elitista,1/5
472,Claus Alarcón,"2 años atrás en
Google","La vista del restaurante La Terraza es hermosa, el viernes ofrecen parrillada, los cortes de carne muy buenos. Un lugar agradable para cenar. Costo aproximado por persona  $700",4/5
473,Carlos Guzman,"hace 8 meses en
Google",Me encanta,5/5
474,Rossy Ávila,"un año atrás en
Google",Hay Bufet a muy buen precio y muy variado,5/5
475,Hugo El Doctor Jeit Cruz,"un año atrás en
Google",Los vitrales son ese tipo de cosas que no te puedes perder si vistas el zócalo de la ciudad.,4/5
476,Jorge Franco,"un año atrás en
Google",Muy limpio y bonito histórico y de buen gusto,5/5
477,Rebeca Perrusquia,"un año atrás en
Google","Es muy hermoso, muy limpio y buena atención!! La comida muy rica!!",5/5
478,MARIA DE LOS ANGELES,"un año atrás en
Google","El mejor hotel que haya conocido, su historia, su arquitectura, su antigüedad, su decoración fiel a la época digna de reyes, es sencillamente espectacular, la vista maravillosa a la plaza de constitución, un lugar de mucho lujo, clase, belleza, inigualable, todo el que llega se maravilla",5/5
479,Miguel A. López Trejo,"un año atrás en
Google","Su Lobbie es lo único que se conserva con ese estilo Clásico. De lo demás, es como un simple Hotel de 4 estrellas. Solo digamos que la fama lo precede, pero el servicio es muy sencillo.",4/5
480,Jaco soles,"un año atrás en
Google",Muy bonito y excelente ubicación,5/5
481,Martín Gustavo Méndez Martínez,"un año atrás en
Google",Hermoso edificio estiló francés único en la ciudad de México,5/5
482,Esteban Rey,"un año atrás en
Google",Sus vitrales y arquitectura es espectacular.,5/5
483,Angélica Luz Guerra,"un año atrás en
Google","Glamoroso lugar,  y de orgullo, que este en nuestro país, me encantaría hospedarse algún día!!",5/5
484,Jorge Díaz,"un año atrás en
Google","Gran Hotel de la Ciudad de México, un interesante edificio que albergó el Centro Mercantil en tiempos de Porfirio Díaz, quien lo declaró el primer edificio Art Nouveau en la ciudad. Con un imponente techo de cristal elaborado por el…",4/5
485,Anabel Capetillo,"un año atrás en
Google",Esta muy bien,5/5
486,Luvía Diaz,"un año atrás en
Google","Excelente servicio, una fiesta espectacular",5/5
487,Mauricio Sánchez,"un año atrás en
Google",Hermoso vitral y vista,5/5
488,Alfonso Serna,"un año atrás en
Google","Magnífica edificación, el recibidor impresionante con su candil, su elevador, la arquitectura, el domo de vitral y buena comida en su terraza",5/5
489,MARIA GUADALUPE ROSETE ALEMAN,"un año atrás en
Google","MUY CLASICO, CONSERVADOR Y ELEGANTE...LO MALO ES QUE EN EL RESTAURANTE PRINCIPAL SON MUYYY CAROS TODO A LA CARTA Y MUY REDUCIDAS LAS CARNES DE LAS PARRILLADAS, LAS BEBIDAS NI SE DIGA EN VASOS MEDIANOS (COMO LA MINI NARANJADITA) Y TODO TIPO…",3/5
490,ana María Mariel,"un año atrás en
Google",El lugar es precioso bien cuidado bien conservado para disfrutar en familia caminarlo la atención en el restaurante del primer piso es excelente  la señorita Miriam Vázquez nos dio servicio VIP fue una estancia agradable en compañía de…,5/5
491,Beto Mimendi,"un año atrás en
Google",El lugar es único y elegante. Su personal se porta mamón para el acceso......   eduquenlos.,5/5
492,sinuhe davila,"2 años atrás en
Google","Gran lugar con instalaciones muy hermosas, un trato amable por parte de todo el equipo del hotel, en su restaurante terraza tiene una gran vista del zócalo de la ciudad y pueden realizar sus eventos privados  gozando de las instalaciones. Una gran experiencia",4/5
493,H6zQaap0p76oy0pg78ii P,"un año atrás en
Google","Hotel excelente el estacionamiento es realmente una mafia....caro, lento un abuso cuidado !!!",3/5
494,Rubén Durán,"3 años atrás en
Google",En mi opinión el mejor Hotel del Centro Histórico. Hotel Clásico con excelente atención y servicios muy completos! Los desayunos en su restaurante son excelentes la comida es bastante sabrosa y también La atención en el restaurante es muy…,5/5
495,laura gonzalez,"un año atrás en
Google","Me encanto la experiencia, los meseros tuvieron hacia nosotros, una atención de primera ademas de que sus recomendaciones y explicaciones estuvieron de 10.
La comida muy rica y 100% recomendable.
Lo visite con mi pareja para festejar nuestro aniversario y la verdad regresariamos par probar cosas nuevas.",5/5
496,Monserrat Chávez,"3 años atrás en
Google","Francamente es el mejor lugar donde me he hospedado. El lugar por si solo es una joya arquitectónica, los vitrales de día no van a dejarte mirar por donde caminas, pues son tan bellos que no quieres perder ni un segundo de ellos, el…",5/5
497,Ary Sanders,"un año atrás en
Google","Encantador, la comida esquisita, la vista hermosa super bien para pasar una noche",5/5
498,Guillermo Arcos,"un año atrás en
Google",De mis lugares favoritos,5/5
499,Expedia reviewer,"un año atrás en
Expedia.mx",Su arquitectura y la amabilidad del personal especialmente de José Luis y Jessica (concierge),5/5
500,César Eliud Ruiz Gonzalez,"2 años atrás en
Google",no nos hospedamos pero vale la pena ir de contrabando a ver el lobby,4/5
501,Emmanuel Arriaga,"2 años atrás en
Google","Lo visité entre semana.
Muy tranquilo y aunque el servicio de Buffet no cuenta con mucha variedad lo que hay está bien preparado y algunos platillos muy sabrosos.
El costo por persona es muy accesible.",4/5
502,Alicia Lugo Alegria,"un año atrás en
Google","Hermoso edificio, excelente servicio",5/5
503,Alex Sanchez,"un año atrás en
Google","Lugar icónico de la ciudad de México!! El brunch, de primera calidad!!",5/5
504,ElSa Montane,"un año atrás en
Google","Muy bien,",5/5
505,JAN SS MÉXICO,"un año atrás en
Google",exelente lugar para hospedarse gran atención por parte de los empleados camas limpias todo 100% perfercto,5/5
506,Contacto Laguna,"un año atrás en
Google","Excelente lugar muy  bonito y les recomiendo desayunar en la terraza, hay una entrando Eda no la del arriba",5/5
507,Maria Antonieta Velez Mendez,"un año atrás en
Google","No te lo pierdas domo de crustal y restaurante terraza dinde puedes ver toda la plaza de la cdmx, la catedral y comer rico.",5/5
508,Luis Manuel Torres Silva,"un año atrás en
Google",Excelente lugar,5/5
509,Isabel Blanco,"un año atrás en
Google","Muy bonito hotel, la vidriera del techo es impresionante",5/5
510,Mentes Maestras,"un año atrás en
Google",Una experiencia maravillosa!! Grandes anfitriones y el menú exquisito!! Arquitectura espectacular!!,5/5
511,Alejandro Jaimes Terán,"un año atrás en
Google","Excelente edificio, admirar los vitrales",5/5
512,Laura Libreros,"un año atrás en
Google","Super bonito, cómodo y super servicio",5/5
513,Armando Hernández Cruz,"un año atrás en
Google",Excelente servicio en el restaurante. Muy bueno el bufet.,4/5
514,Zarita Zarita,"un año atrás en
Google",Su comida en fin de semana es muy pobre para tremendo lugar..,3/5
515,Oswaldo Loeza,"un año atrás en
Google",Muy rico,5/5
516,G Garcia,"un año atrás en
Google","Ojala todos pudieran conocer este hotel el techo de vitral es tan hermoso
A la entrada un candelabro enorme que fue un regalo de don Porfirio Diaz al hotel",5/5
517,Luis Jorge Lopéz Barrera,"2 años atrás en
Google","Cómo lo indica el nombre es el Gran Hotel de la Ciudad de México.  Increíble pensar que fue una ferretería.  Su estilo clásico y toques de Art Novuo,  servicios y alimentos son un atractivo para ir a comer o pasar alguna noche en sus habitaciones",5/5
518,Nano Mejia,"un año atrás en
Google",Lindo lugar,4/5
519,Polariya Zednánreh,"un año atrás en
Google",La verdad es que la comida es excelente y no se diga del trato del personal,5/5
520,Nereyda Marquez,"un año atrás en
Google","Vista increíble, muy a lo mexicano. En costos un poco elevados. Pero todo lo demás muy bien.",4/5
521,Joel Nieto,"un año atrás en
Google","En el corazón de la ciudad, aún conserva parte de la estructura de los primeros elevadores de la ciudad y los vitrales Tiffany ufff, el restaurante no es espectacular pero tiene una visita privilegiada de la catedral, buena comida pero nada extraordinario a excepción de la explosión de chocolate.",5/5
522,Carmen Rodriguez,"un año atrás en
Google",Increíble belleza.vale la pena entrar para ver este histórico lugar,5/5
523,janine ramirez chavez,"un año atrás en
Google",Me encanta este lugar es tan hermoso es como regresar en el tiempo,5/5
524,El Optometrista Viajero,"un año atrás en
Google",Buena atención,5/5
525,Alejandro Camacho Guzmán,"un año atrás en
Google","Excelente hotel con vista a su plaza de armas, ""llamado zócalo"".",4/5
526,Iovanna Cisneros,"un año atrás en
Google",Es súper elegante. Es muy recomendable.,5/5
